"","custAge","profession","marital","schooling","default","contact","month","campaign","previous","poutcome","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","pmonths","pastEmail","responded","KNN_prediction"
"106",0.144736842105263,2,3,2,1,1,3,0,0,2,0.174590802805926,0.866108786610879,0.0183631829517116,0.203780718336483,1,0,1,"2"
"109",0.486842105263158,2,2,1,1,1,2,0,0.166666666666667,3,0.199532346063913,0.744769874476987,0.0183631829517116,0.226465028355386,0.0002002002002002,0.222222222222222,2,"2"
"205",0.118421052631579,4,3,3,1,1,1,0,0.166666666666667,1,0.603273577552611,0.677824267782427,0.00022670596236681,0.170510396975423,1,0,1,"2"
"239",0.276315789473684,2,1,1,1,1,2,0.0256410256410256,0.166666666666667,3,0.0693686671862866,0.878661087866109,0.0349127182044888,0.203780718336483,0.0001001001001001,0,2,"2"
"305",0.881578947368421,2,2,1,2,1,1,0,0.333333333333333,3,0.603273577552611,0.677824267782427,0.00181364769893448,0.170510396975423,0.0002002002002002,0.333333333333333,2,"2"
"403",0.0789473684210526,4,3,2,1,1,3,0,0.166666666666667,1,0.26968043647701,0.192468619246862,0.1571072319202,0.512287334593573,1,0.166666666666667,1,"2"
"441",0.0921052631578947,1,3,2,1,1,2,0,0,2,0.0896336710833997,1,0.0238041260485151,0.203780718336483,1,0,1,"2"
"540",0.413660634655429,2,2,1,1,1,3,0,0.333333333333333,3,0.652766952455187,0.451882845188284,0.0138290637043754,0.170510396975423,0.0001001001001001,0.777777777777778,2,"2"
"587",0.171052631578947,4,3,3,2,1,1,0,0.166666666666667,1,0.340607950116917,0.154811715481171,0.175923826796645,0.512287334593573,1,0.166666666666667,1,"2"
"592",0.236842105263158,1,3,2,1,1,3,0,0.166666666666667,3,0.722525331254876,0.460251046025105,0.0238041260485151,0.10586011342155,0.0002335668998999,0.111111111111111,2,"2"
"925",0.0921052631578947,1,3,1,1,1,3,0,0,2,0,0.811715481171548,0.0555429607798685,0.425708884688089,1,0,1,"2"
"1029",0.0699290243919039,4,3,3,1,1,2,0,0.166666666666667,3,0.455183164458303,0.669456066945607,0.000680117887100431,0.170510396975423,0.0003003003003003,0.111111111111111,2,"2"
"1222",0.513157894736842,1,2,2,1,1,3,0,0,2,0.296960249415432,0.418410041841004,0.141917932441623,0.425708884688089,1,0,2,"2"
"1300",0.131578947368421,1,3,1,1,1,2,0,0,2,0.0693686671862866,0.878661087866109,0.0419406030378599,0.203780718336483,1,0,1,"2"
"1437",0.382599256967732,1,2,1,1,1,2,0,0.333333333333333,3,0.935307872174592,0.0543933054393304,0.0795737927907504,0,0.0001001001001001,0.111111111111111,2,"2"
"2012",0.184210526315789,2,2,1,1,1,2,0,0.833333333333333,3,0.778643803585348,0.556485355648536,0.0555429607798685,0,0.0002002002002002,0.277777777777778,2,"2"
"2078",0.312384702906335,2,2,1,1,1,2,0,0.333333333333333,3,0.0693686671862866,0.878661087866109,0.0396735434141918,0.203780718336483,0.0001001001001001,0.333333333333333,1,"2"
"2083",0.276315789473684,1,1,2,1,1,2,0,0.166666666666667,3,0.455183164458303,0.669456066945607,0.00362729539786897,0.170510396975423,0.0004337671001001,0.222222222222222,1,"2"
"2115",0.421052631578947,2,2,1,1,1,2,0.0512820512820513,0.166666666666667,1,0.0693686671862866,0.878661087866109,0.0303785989571526,0.203780718336483,1,0.166666666666667,1,"2"
"2438",0.118421052631579,2,3,2,1,1,2,0,0.166666666666667,3,0.455183164458303,0.669456066945607,0.00408070732260259,0.170510396975423,0.0002002002002002,0.222222222222222,2,"2"
"2484",0.236842105263158,1,3,1,1,1,3,0,0,2,0,0.811715481171548,0.0566764905917026,0.425708884688089,1,0,1,"2"
"2771",0.578947368421053,3,2,1,2,1,2,0.0256410256410256,0,2,0.0896336710833997,1,0.0238041260485151,0.203780718336483,1,0,2,"2"
